unitId,itemized,salary,filingStatus,weight,tax
11,0.0,6590.0,1,7095.3833698,309.0
12,0.0,680.0,1,7139.730803,-282.0
13,0.0,308.6,1,7294.3902474,-319.14000000000004
14,0.0,820.0,1,6989.4307115,-268.0
15,0.0,12230.0,1,7121.5275598,873.0
41,0.0,19000.0,1,3869.557417,1550.0
42,0.0,17000.0,1,3939.0239781,1350.0
43,0.0,18000.0,1,3975.5958868,1450.0
44,0.0,20000.0,1,3810.8560637,1650.0
45,0.0,17000.0,1,3907.7120495,1350.0
61,0.0,447.0,0,4774.1920971,-205.3
62,0.0,447.0,0,4765.7908073,-205.3
63,0.0,447.0,0,4770.9019917,-205.3
64,0.0,437.0,0,4773.1226051,-206.3
65,0.0,447.0,0,4768.7040957,-205.3
81,0.0,650.0,1,2246.9632228,-285.0
82,0.0,650.0,1,2186.5500868,-285.0
83,0.0,650.0,1,2077.1192719,-285.0
84,0.0,650.0,1,2302.3149979,-285.0
85,0.0,650.0,1,2186.9182332,-285.0
91,600.0,81000.0,1,4351.1691946,7750.0
92,600.0,81000.0,1,2855.2432968,7750.0
93,600.0,89000.0,1,4407.9284452,8550.0
94,600.0,80000.0,1,4307.0081636,7650.0
95,600.0,86000.0,1,4378.0291564,8250.0
111,2000.0,160000.0,1,3771.4507656,15600.0
112,2000.0,160000.0,1,3662.0291192,15600.0
113,2000.0,160000.0,1,3488.6121228,15600.0
114,2000.0,160000.0,1,3869.1664148,15600.0
115,2000.0,160000.0,1,3664.098474,15600.0
141,0.0,16.0,0,3243.1738439,-248.4
142,0.0,16.0,0,3273.1590367,-248.4
143,0.0,16.0,0,3282.0575102,-248.4
144,0.0,16.0,0,3229.4666823,-248.4
145,0.0,16.0,0,3243.9830414,-248.4
151,0.0,10.0,0,3470.1043075,-249.0
152,0.0,10.0,0,3479.2511979,-249.0
153,0.0,10.0,0,3488.7099575,-249.0
154,0.0,10.0,0,3432.8077851,-249.0
155,0.0,10.0,0,3448.2381565,-249.0
191,2000.0,77000.0,1,5257.7592767,7300.0
