unitId,itemized,salary,filingStatus,weight,tax
11,0,6590,1,7095.38,309
12,0,680,1,7139.73,-282
13,0,308.6,1,7294.39,-319.14
14,0,820,1,6989.43,-268
15,0,12230,1,7121.53,873
41,0,19000,1,3869.56,1550
42,0,17000,1,3939.02,1350
43,0,18000,1,3975.6,1450
44,0,20000,1,3810.86,1650
45,0,17000,1,3907.71,1350
61,0,447,0,4774.19,-205.3
62,0,447,0,4765.79,-205.3
63,0,447,0,4770.9,-205.3
64,0,437,0,4773.12,-206.3
65,0,447,0,4768.7,-205.3
81,0,650,1,2246.96,-285
82,0,650,1,2186.55,-285
83,0,650,1,2077.12,-285
84,0,650,1,2302.31,-285
85,0,650,1,2186.92,-285
91,600,81000,1,4351.17,7750
92,600,81000,1,2855.24,7750
93,600,89000,1,4407.93,8550
94,600,80000,1,4307.01,7650
95,600,86000,1,4378.03,8250
111,2000,160000,1,3771.45,15600
112,2000,160000,1,3662.03,15600
113,2000,160000,1,3488.61,15600
114,2000,160000,1,3869.17,15600
115,2000,160000,1,3664.1,15600
141,0,16,0,3243.17,-248.4
142,0,16,0,3273.16,-248.4
143,0,16,0,3282.06,-248.4
144,0,16,0,3229.47,-248.4
145,0,16,0,3243.98,-248.4
151,0,10,0,3470.1,-249
152,0,10,0,3479.25,-249
153,0,10,0,3488.71,-249
154,0,10,0,3432.81,-249
155,0,10,0,3448.24,-249
191,2000,77000,1,5257.76,7300
192,2000,77000,1,5118.44,7300
193,2000,77000,1,4801.13,7300
194,2000,77000,1,5399.85,7300
195,2000,77000,1,5077.68,7300
201,50000,200000,1,251.515,14800
202,50000,200000,1,244.38,14800
203,50000,200000,1,253.406,14800
204,50000,200000,1,261.314,14800
205,50000,200000,1,236.769,14800
221,700,100000,1,1058.09,9650
222,700,100000,1,1035.67,9650
223,700,100000,1,1043.1,9650
224,700,100000,1,1038.17,9650
225,700,100000,1,1039.34,9650
251,750,99000,0,6048.5,9650
252,750,99000,0,6056.06,9650
253,750,99000,0,6167.73,9650
254,750,99000,0,5925.17,9650
255,750,99000,0,6061.91,9650
271,0,59000,0,4589.8,5650
272,0,59000,0,4619.83,5650
273,0,59000,0,4662.37,5650
274,0,59000,0,4447.02,5650
275,0,59000,0,4562.88,5650
291,0,10000,0,5363.06,750
292,0,10000,0,5394.57,750
293,0,10000,0,5382.49,750
294,0,10000,0,5248.59,750
295,0,10000,0,5359.23,750
301,0,180,0,4260.63,-232
302,0,180,0,4253.7,-232
303,0,180,0,4296.16,-232
304,0,170,0,4220.25,-233
305,0,180,0,4279.8,-232
311,0,1500,0,5768.71,-100
312,0,1500,0,5773.32,-100
313,0,1500,0,5813.58,-100
314,0,1500,0,5735.33,-100
315,0,1500,0,5747.66,-100
321,3000,15000,1,2480.85,1000
322,3000,15000,1,2435.22,1000
323,3000,16000,1,2606.69,1100
324,3000,16000,1,2611.9,1100
325,3000,16000,1,2431.66,1100
341,0,9.7,1,4443.73,-349.03
342,0,9.8,1,4478.8,-349.02
343,0,9.7,1,4490.79,-349.03
344,0,9.7,1,4385.4,-349.03
345,0,9.8,1,4465.33,-349.02
361,700,1240,1,5187.68,-226
362,700,1240,1,5218.16,-226
363,700,1240,1,5206.47,-226
364,700,1240,1,5076.95,-226
365,700,1240,1,5183.98,-226
381,0,300,1,3347.76,-320
382,0,300,1,3340.13,-320
383,0,300,1,3324.23,-320
384,0,300,1,3354.35,-320
385,0,300,1,3348.83,-320
